Tweet,Date,Retweets,,,,
I only use Twitter to distract the media from what I'm doing on Facebook.💯 ,Sun Mar 18 19:30:36 +0000 2018,23,,,,
Am I buying this because I want to buy it? Or because V. Putin wants me to buy it? #ThoughtsWhileGroceryShopping,Sun Mar 18 19:23:11 +0000 2018,7,,,,
Not even a slight feeling of shame? ,Sun Mar 18 19:20:23 +0000 2018,0,,,,
"I do not want to speak to a hardened Democrat like Robert Mueller who will try to catch me out with gotcha questio… """,Sun Mar 18 17:32:36 +0000 2018,61,,,,
It's a RIGGED SYSTEM! ,Sun Mar 18 17:28:57 +0000 2018,12,,,,
"Jared and the Kushner Cos have been caught red-handed displaying a lack of candor""! Jared must be fired immediatel… """,Sun Mar 18 17:03:04 +0000 2018,6,,,,
See how nice they are! ,Sun Mar 18 16:58:52 +0000 2018,18,,,,
"If they were black or Mexican and doing this on the street, this would warrant the death penalty! ",Sun Mar 18 15:17:48 +0000 2018,102,,,,
"Congratulations to First Lady @FLOTUS Melania on her hilarious new performance art piece: A Meeting with Social Me… """,Sun Mar 18 15:13:56 +0000 2018,133,,,,
"Russia heads to the polls and, unless some 400-lb guy in his mom's basement is up to no good, I predict a YUGE vict… ",Sun Mar 18 14:17:55 +0000 2018,11,,,,
Where the hell is Jeff Sessions? He was in his #StPatricksDay costume yesterday and I didn't recognize him. I thoug… ,Sun Mar 18 13:51:27 +0000 2018,15,,,,
"If the glove doesn't fit, you must acquit! It doesn't matter if the glove shrank because two Russian models"" peed… """,Sun Mar 18 13:45:22 +0000 2018,28,,,,
You cannot trust James Comey or Andrew McCabe! I asked both of them if we have a trade deficit with Canada and they… ,Sun Mar 18 13:31:42 +0000 2018,65,,,,
Cambridge Analytica totally forgot that it met with Russians to plan our joint social media psy ops campaign! And d… ,Sun Mar 18 06:54:05 +0000 2018,70,,,,
Mini-Me. ,Sun Mar 18 05:38:26 +0000 2018,19,,,,
"I am getting SO TIRED of waiting for Robert Mueller to prove my innocence in this so-called Russia probe."" It is r… """,Sun Mar 18 02:59:55 +0000 2018,23,,,,
"I could have a threesome with two Russian Hookers in the Lincoln Bedroom, broadcast it live on Pay-Per-View, and st… ",Sun Mar 18 02:06:58 +0000 2018,663,,,,
I fired Andrew McCabe for not telling the truth and I'm suing Stormy Daniels for $20 million to stop her from telli… ,Sun Mar 18 00:59:30 +0000 2018,34,,,,
"The six other women who have told their stories to Mic Drop Avagoodnighty are complete liars, unless any of their h… ",Sun Mar 18 00:34:26 +0000 2018,7,,,,
Why is Stormy Daniels' attorney Michael Avanutallergy on CNN again? I don't know. I never watch CNN. And I did not… ,Sun Mar 18 00:28:08 +0000 2018,14,,,,
Spoiler alert! ,Sun Mar 18 00:13:48 +0000 2018,10,,,,
No President has eliminated more regulations than me! I hope you're finding the fracking earthquakes fun and gettin… ,Sat Mar 17 22:33:15 +0000 2018,71,,,,
"Sanctimonious James @Comey has written a so-called book about LOYALTY that is already an Amazon Washington Post FA… """,Sat Mar 17 20:59:00 +0000 2018,68,,,,
TOTAL FABRICATED FICTION! ,Sat Mar 17 19:22:04 +0000 2018,3,,,,
Who knew I'd be the one too busy to ever play golf? ,Sat Mar 17 19:02:00 +0000 2018,8,,,,
But no votes were affected! ,Sat Mar 17 18:57:57 +0000 2018,28,,,,
"You call me Daddy."" I call you ""Ivanka."" #OddPrenupDemands""",Sat Mar 17 18:49:44 +0000 2018,34,,,,
Be nice to John Dowd or Michael Cohen will rough you up.,Sat Mar 17 18:19:28 +0000 2018,4,,,,
"The Fake News is beside themselves that McCabe was caught, called out and fired. My administration will simply not… ",Sat Mar 17 18:12:37 +0000 2018,20,,,,
Once I fire Jeff Sessions and bring in Judge Jeanine none of that will matter. ,Sat Mar 17 17:03:56 +0000 2018,24,,,,
"Happy #StPatricksDay! Especially to the Morans, who are among my biggest fans! ",Sat Mar 17 16:49:06 +0000 2018,105,,,,
Oops. ,Sat Mar 17 16:23:05 +0000 2018,34,,,,
@KimKardashian Silly question.,Sat Mar 17 04:56:28 +0000 2018,2,,,,
"I DID NOT HAVE SEX WITH THAT WOMAN, STORMY DANIELS! I'm just suing her for $20M so she won't reveal any details of… ",Sat Mar 17 04:50:07 +0000 2018,515,,,,
"Andrew McCabe FIRED, a great day for the hard working men and women of the FBI - except all those who are sticklers… ",Sat Mar 17 04:40:11 +0000 2018,60,,,,
"Donny, Jr.'s going through a rough time. He might want to kill some elephants. ",Sat Mar 17 03:57:58 +0000 2018,21,,,,
RT @RealDonalDrumpf: Cambridge Analytica was just a low-level firm specializing in military psy ops that I paid a mere $6M to! I'm sure the…,Sat Mar 17 02:53:52 +0000 2018,47,,,,
Lying is a fireable offense! LOL.,Sat Mar 17 02:40:04 +0000 2018,15,,,,
Andrew McCabe has been fired. Project manager Jeff Sessions is safe for another week.,Sat Mar 17 02:09:27 +0000 2018,32,,,,
It's always a white privilege to be talked about on Fox News! ,Fri Mar 16 22:41:47 +0000 2018,59,,,,
Everyone's excited to see what I'll do next to distract from Stormy Daniels and Bob Mueller! The Geopolitical Risk… ,Fri Mar 16 22:14:43 +0000 2018,18,,,,
Consumer confidence hasn't been this high since I launched Trump Mortgage and Larry Kudlow was advising you to put… ,Fri Mar 16 18:03:55 +0000 2018,21,,,,
V. Putin is smart! So many great tips for crushing the opposition and seizing more power when my policies and thiev… ,Fri Mar 16 17:53:43 +0000 2018,13,,,,
"Sen. Jeff Flake(y), who is unelectable in the Great State of Arizona (quit race, anemic polls) now says the Republi… ",Fri Mar 16 14:40:10 +0000 2018,22,,,,
Michael Avenatti says Stormy Daniels was physically threatened to keep quiet about her so-called (but very consensu… ,Fri Mar 16 14:13:59 +0000 2018,119,,,,
"Thank you.… """,Fri Mar 16 06:59:30 +0000 2018,49,,,,
We don't steal and engage in corruption for the money. We do it for the high. ,Fri Mar 16 04:37:56 +0000 2018,29,,,,
"RT @RealDonalDrumpf: Thank you @jimmykimmel for alerting Eric and Don, Jr. to the fact that the products on our new website are made in Chi…",Fri Mar 16 03:04:58 +0000 2018,136,,,,
Which of your favorite characters should I fire next?,Fri Mar 16 03:03:11 +0000 2018,18,,,,
We have a trade deficit if you take away the surplus created by the 5M undocumented immigrants who voted illegally… ,Thu Mar 15 21:21:19 +0000 2018,11,,,,
"I also told Justin Trudeau there was NO COLLUSION, but he knew I was lying about that one.",Thu Mar 15 21:16:23 +0000 2018,64,,,,
"Thank you, @PressSec, for claiming I was lying when I said was lying! Keep up the great work! ",Thu Mar 15 19:57:46 +0000 2018,125,,,,
"@KimKardashian Save us, Kim! #KKSTW",Thu Mar 15 19:52:45 +0000 2018,0,,,,
"It's not the size of the wave, it's the motion of the ocean! ",Thu Mar 15 19:51:28 +0000 2018,3,,,,
It was my honor to welcome Prime Minister Leo Varadkar (@campaignforleo) of Ireland to the White House. He said the… ,Thu Mar 15 17:55:32 +0000 2018,34,,,,
"Thank you @jimmykimmel for alerting Eric and Don, Jr. to the fact that the products on our new website are made in… ",Thu Mar 15 16:21:41 +0000 2018,136,,,,
"The Defense Department spent nearly $138,000 at Trump Properties during the first 8 months of my Presidency, but al… ",Thu Mar 15 15:41:48 +0000 2018,21,,,,
I said a lot of things to Trudeau. None of them were true though.,Thu Mar 15 14:43:03 +0000 2018,13,,,,
I have named Larry Kudlow as my new Chief Economic Advisor. He will be a great person to talk to during the commerc… ,Thu Mar 15 12:58:40 +0000 2018,45,,,,
I told Justin Trudeau that he must do something to address the 45% covfefe surplus caused by NAFTA or America will… ,Thu Mar 15 12:28:51 +0000 2018,103,,,,
"All those predicting a so-called Blue Wave"" in November are going to be very disappointed when I cancel the elections!""",Thu Mar 15 05:15:34 +0000 2018,41,,,,
Anything to distract from @StormyDaniels' sex tape. ,Thu Mar 15 05:12:50 +0000 2018,16,,,,
Thank you my darling @VP Mike Pence! Your open contempt for the #EmolumentsClause is so refreshing! We must cash in… ,Wed Mar 14 22:29:48 +0000 2018,106,,,,
"Sad to announce that Donald, Jr. and his wife Vanessa will be divorcing. They have been spending so much time apart… ",Wed Mar 14 20:59:19 +0000 2018,103,,,,
"Dear @StormyDaniels, please tell your lawyer to stop sending me checks for $130,000. I'm not going to deposit them! ",Wed Mar 14 20:54:03 +0000 2018,10,,,,
US Ambassador to the United Nations Nikki Haley has just issued a forceful condemnation of Russia for its unaccepta… ,Wed Mar 14 20:51:25 +0000 2018,162,,,,
"Please don't ask Betsy DeVos any gotcha"" questions about #PiDay. Like how to spell it.""",Wed Mar 14 20:07:32 +0000 2018,15,,,,
I have asked Jeff Sessions to fire Andrew McCabe before he retires on Sunday because it's important to send a messa… ,Wed Mar 14 19:38:46 +0000 2018,79,,,,
Corporate bankruptcies soared 40% in 2007 -- even Trump Mortgage was wiped out. SAD! -- but Larry Kudlow still urge… ,Wed Mar 14 19:25:34 +0000 2018,32,,,,
I am excited to announce Larry Kudlow will be cast as my new chief economic advisor in a six-episode story arc that… ,Wed Mar 14 17:15:56 +0000 2018,311,,,,
We cannot let Rand Paul hold the country hostage. Mike Pence says the voices in his head are demanding that Mike Po… ,Wed Mar 14 17:10:59 +0000 2018,8,,,,
Rand Paul is very weak on torture and refuses to endorse a global Holy War! Mike Pence is fucking livid. Rick Perry… ,Wed Mar 14 17:05:33 +0000 2018,14,,,,
Everything is great. There is no chaos! But everything is also a complete disaster and the whole world is ripping u… ,Wed Mar 14 16:59:51 +0000 2018,17,,,,
We need more guns in schools to keep everyone safe! ,Wed Mar 14 14:31:53 +0000 2018,34,,,,
Sick Raccoon was a very weak candidate! He didn't even come up with one good nickname for Conor Lamb! You can't bla… ,Wed Mar 14 05:23:27 +0000 2018,62,,,,
"People say torture doesn't work. But if you put it on your resume when you're applying for a job with me, it's very… ",Tue Mar 13 23:33:08 +0000 2018,5,,,,
@SanDiegoJay @JerryBrownGov WRONG.,Tue Mar 13 23:28:41 +0000 2018,0,,,,
"T. Rex The Fossil"" Tillerson told me he wouldn't quit and if I wanted him out I would have to have the balls to fi… """,Tue Mar 13 23:10:10 +0000 2018,58,,,,
California is totally out of control! The taxes on the rich are so high here that failed Governor @JerryBrownGov ha… ,Tue Mar 13 23:03:46 +0000 2018,43,,,,
Ari Melba Toast says he is about to outline the legal case against my lawyer Michael Cohen. Please change the chann… ,Tue Mar 13 22:43:58 +0000 2018,5,,,,
"I did not fire Sexy Rexy because he called me a fucking moron."" I fired him because V. Putin told me to.""",Tue Mar 13 22:35:37 +0000 2018,56,,,,
Another contestant voted off Sex Predator Island. I'm really starting to think I can win this! ,Tue Mar 13 21:24:41 +0000 2018,9,,,,
Many people are saying #PA18 is a close race between an Honorable Lamb and a Sick Raccoon. Only one of them will ru… ,Tue Mar 13 20:35:57 +0000 2018,16,,,,
"ABSOLUTELY UNACCEPTABLE BEHAVIOR FROM STEVE GOLDSTEIN AT THE STATE DEPARTMENT! HE TOLD THE TRUTH IN PUBLIC, SO I FI… ",Tue Mar 13 19:13:13 +0000 2018,32,,,,
I am going to California to look at my wall! ,Tue Mar 13 18:46:35 +0000 2018,247,,,,
@KimKardashian @kkwbeauty Kim Kardashian Saves the World. ,Tue Mar 13 16:35:15 +0000 2018,0,,,,
Orange Clown Aliases #JeopardyCategoriesAboutMe ,Tue Mar 13 16:17:24 +0000 2018,17,,,,
John McEntee was fired as my personal assistant at the White House as he is being investigated for serious financia… ,Tue Mar 13 15:30:44 +0000 2018,134,,,,
"Mike Pompeo, Director of the CIA, will become our new Secretary of State, managing a department of six. Thank you t… ",Tue Mar 13 13:15:03 +0000 2018,201,,,,
"If your Daddy's rich and you lie and cheat your whole life, grab all the pussy you can and bang a few porn stars al… ",Tue Mar 13 12:56:56 +0000 2018,34,,,,
CONOR LAMB 🇺🇸 is a Marine Veteran who prosecuted heroin dealers and fights for affordable healthcare and infrastruc… ,Tue Mar 13 12:49:14 +0000 2018,30,,,,
Roger Stone is just a low-level BFF for many decades who had no official role in my campaign besides being my Direc… ,Tue Mar 13 12:34:41 +0000 2018,12,,,,
I just got a very nice call from O.J. Simpson! He said if Devin Nunes needs any help to find the real killers he's… ,Tue Mar 13 02:36:08 +0000 2018,68,,,,
"Thank you, Devin Nunes, for your unrelenting commitment to tracking down every shred of evidence, including all of… ",Tue Mar 13 02:27:31 +0000 2018,26,,,,
"THE HOUSE INTELLIGENCE COMMITTEE HAS, AFTER A 14 MONTH LONG IN-DEPTH INVESTIGATION OF HUMA ABEDIN'S LAPTOP, FOUND N… ",Tue Mar 13 02:00:20 +0000 2018,23,,,,
Please ignore my recent promises to implement commonsense gun reforms. I don't know what came over me. I will not l… ,Mon Mar 12 21:24:10 +0000 2018,79,,,,
Iowa Senate leader Bill Dix has resigned after getting caught making out in public with a lobbyist who was not his… ,Mon Mar 12 20:15:07 +0000 2018,58,,,,
"My hotels around the world have made a net profit of $150,000 from foreign governments since I became President, af… ",Mon Mar 12 19:48:25 +0000 2018,25,,,,
"Poster for Toxxxic Cumloads 6"" signed by Stormy Daniels during happier times #BadCubicleDecorations""",Mon Mar 12 18:56:47 +0000 2018,4,,,,
Sick Raccoon is a lousy candidate! You need a Wolf to beat a Lamb! ,Mon Mar 12 17:05:14 +0000 2018,4,,,,
I sire the best people. ,Mon Mar 12 16:23:23 +0000 2018,14,,,,
"Donald Trump, Jr. is campaigning today with Rick Saccone. If you have any large pets, please keep them indoors.",Mon Mar 12 15:34:55 +0000 2018,34,,,,
Rick Saccone is such a WEAK candidate he'd probably lose a national election by 3 million votes! #PA18 ,Mon Mar 12 15:29:05 +0000 2018,4,,,,
"The solution to mass shootings is more guns.

The solution to climate change is more fossil fuels.

The solution to… ",Mon Mar 12 13:15:42 +0000 2018,488,,,,
Donald Trump Jr. and his hunting buddy business partner have not benefited from their secret access to the White Ho… ,Mon Mar 12 12:48:18 +0000 2018,51,,,,
This is what teenagers should be doing on the internet -- sharing cat videos! RT to show your support. ,Mon Mar 12 07:10:14 +0000 2018,20,,,,
"Fake News 60 Minutes"" ambushed Betsy DeVos with ""gotcha"" questions about ""education"" and improving ""underperformin… """,Mon Mar 12 06:23:51 +0000 2018,327,,,,
Big congrats to @JesseBWatters for hooking up with a hot 25-year-old #FoxNews coworker! Roger Ailes would be proud!… ,Mon Mar 12 01:17:39 +0000 2018,92,,,,
Unlike other countries where so-called gun control has resulted in a huge decrease in gun violence and mass shootin… ,Mon Mar 12 00:36:57 +0000 2018,89,,,,
Thank you Steve Munchkin! ,Sun Mar 11 23:58:19 +0000 2018,5,,,,
"Fridge for Air Force One: $24 million
Private jet travel for VA, HHS, and EPA chiefs: $2M
Military flights for Mnuc… ",Sun Mar 11 17:23:03 +0000 2018,351,,,,
"Daily mass shootings.
Families ripped apart by ICE.
Millions losing healthcare.
Cuts to Medicare and Social Securit… ",Sun Mar 11 17:05:15 +0000 2018,53,,,,
My Rasmussen approval is now around 50% -- or 44% if you want to know what the real number is. When sleeping son of… ,Sun Mar 11 15:43:44 +0000 2018,15,,,,
And I definitely did not allow Michael Cohen to walk out of my office with the bag of rubles that Paul Manafort lef… ,Sun Mar 11 14:37:23 +0000 2018,12,,,,
"... I am particularly happy with Michael Cohen, who so generously took out a home equity line and used his own mone… ",Sun Mar 11 14:29:06 +0000 2018,16,,,,
The Failing New York Times purposely wrote a false story stating that I am unhappy with my legal team on the Russia… ,Sun Mar 11 14:26:34 +0000 2018,12,,,,
Many people are saying I made them lose more sleep in one year than Obama did in eight. There goes another hour!… ,Sun Mar 11 07:18:18 +0000 2018,26,,,,
"My 2020 campaign slogan will be be Keep America Great because when I told V. Putin he could keep America, he replied Great!"" #KAG""",Sun Mar 11 03:53:09 +0000 2018,91,,,,
"Good person"" Rick Saccone stood up for Roy Moore when all those women were saying Roy was a pervert who had molest… """,Sat Mar 10 23:30:53 +0000 2018,73,,,,
Very excited to rally for Republican candidate Rick Saccone. He is a really good person with ZERO women or children… ,Sat Mar 10 23:19:49 +0000 2018,30,,,,
WRONG. ,Sat Mar 10 17:15:06 +0000 2018,8,,,,
Great news! I have successfully restocked the swamp with the biggest reptiles Washington D.C. has ever seen. #MAGA… ,Sat Mar 10 17:00:57 +0000 2018,36,,,,
"Please send Kim Jong Un my apologies, but I am too upset to travel at this time. He of all people will understand. ",Sat Mar 10 10:53:33 +0000 2018,52,,,,
I personally wrote to Putin asking to meet beautiful women when I was in Moscow. But there's no way he has any tape… ,Sat Mar 10 03:46:22 +0000 2018,152,,,,
You are too kind. ,Sat Mar 10 00:41:24 +0000 2018,13,,,,
"I racially profiled Miss Universe contestants during the judging, but every contestant got stopped and frisked in t… ",Fri Mar 09 20:12:52 +0000 2018,28,,,,
I'm much too busy to talk to Robert Mueller! I have to pack for my trip to North Korea.,Fri Mar 09 04:56:42 +0000 2018,30,,,,
Does anyone have Dennis Rodman's phone number? #AskingForAFriend,Fri Mar 09 00:22:09 +0000 2018,74,,,,
I will only agree to meet with Kim Jong Un if he first agrees to stop nuclear testing and to share everything he kn… ,Fri Mar 09 00:13:11 +0000 2018,62,,,,
"Thank you, @FLOTUS Melania for presenting the 2018 International Women of Courage Award to brave women from more th… ",Thu Mar 08 19:37:09 +0000 2018,17,,,,
"I will be very flexible on tariffs! For example, any country that lends Jared $1.5 billion by Friday afternoon will be excluded.",Thu Mar 08 19:03:47 +0000 2018,360,,,,
"Monthly averages 2008-2017:
Jan: 204
Feb: 198
March: 242
April: 395
May: 461
June: 690
July: 486
Aug: 269
Sept: 322… ",Thu Mar 08 18:40:21 +0000 2018,4,,,,
"Well, spank me with a copy of Forbes magazine. When you put it like that. ",Thu Mar 08 18:24:35 +0000 2018,37,,,,
Sarah Huckabee Sanders is doing a terrible job defending me in the Stormy Daniels affair! She hasn't once mentioned… ,Thu Mar 08 17:36:08 +0000 2018,34,,,,
Offer not valid for porn stars currently under NDA #InternationalWomensDay ,Thu Mar 08 16:18:56 +0000 2018,44,,,,
Charles Koch is very mean to me! I gave him a kazillion dollars in tax breaks and Scott Pruitt is letting him poiso… ,Thu Mar 08 16:09:30 +0000 2018,169,,,,
I may ask Michael Cohen to sign for me. ,Thu Mar 08 07:17:07 +0000 2018,13,,,,
Hope Hicks cannot access her emails because she was hacked! Unless she's telling a white lie. She's sneaky. ,Thu Mar 08 05:36:57 +0000 2018,33,,,,
Erik Prince is just a low-level coffee boy and leader of the world's most powerful mercenary army who happened to m… ,Thu Mar 08 02:39:40 +0000 2018,124,,,,
Always nice to get a good performance review from the boss ,Wed Mar 07 20:41:17 +0000 2018,103,,,,
"We must IGNORE the wild claims of this sex expert who has so-called proof"" of collusion between Americans and Russ… """,Wed Mar 07 20:14:51 +0000 2018,16,,,,
"So proud of Betsy DeVos who entered one of the most dangerous places in America today, a high school. Next time, I… ",Wed Mar 07 19:54:33 +0000 2018,181,,,,
The U.S. is acting swiftly on Intellectual Property theft. We cannot allow this to go on as it has for many years!… ,Wed Mar 07 18:42:47 +0000 2018,47,,,,
@KimKardashian ,Wed Mar 07 17:14:36 +0000 2018,0,,,,
The only reason I follow Ted Cruz is for the porn recommendations. ,Wed Mar 07 17:03:39 +0000 2018,33,,,,
#TheMoreYouKnow ,Wed Mar 07 17:02:26 +0000 2018,13,,,,
@CityOfAtlantic So much of it is going around.,Wed Mar 07 16:35:44 +0000 2018,1,,,,
Many people are saying they expected today to be a lot more Stormy. ,Wed Mar 07 16:20:00 +0000 2018,14,,,,
I have never met David Dennison. And Peggy Peterson does not have any tapes! Do not ask @SarahHuckabee Sanders abou… ,Wed Mar 07 16:08:38 +0000 2018,21,,,,
"You still haven't found any condom receipts, though. Because I didn't use any! #smart ",Wed Mar 07 16:02:30 +0000 2018,11,,,,
Canada is not sending us their best people! They're Biebers. They're Rogens. And don't get me started about Ted Cru… ,Wed Mar 07 15:46:37 +0000 2018,36,,,,
I am hoping to persuade a few of my supporters to work for 75c an hour with no benefits so I can move my shirt prod… ,Wed Mar 07 14:19:19 +0000 2018,134,,,,
I have to make the trade deficit sound worse than it is to distract from the actual deficit of ONE TRILLION which w… ,Wed Mar 07 14:00:55 +0000 2018,12,,,,
"A lot of my supporters are cyber bullying Stormy Daniels, which is making Melania very upset.",Wed Mar 07 13:43:43 +0000 2018,89,,,,
"Stormy Daniels, whose dying mediocre career was saved by my enormously consensual presidency, is now suing me becau… ",Wed Mar 07 07:08:43 +0000 2018,35,,,,
"@tedlieu I won't sue you, @tedlieu, but only because I like you #greatminds ",Wed Mar 07 05:06:20 +0000 2018,3,,,,
The 2018 election will be just like #TheBachelor. You'll think you voted for one candidate. But you'll end up with… ,Wed Mar 07 04:56:33 +0000 2018,7,,,,
Erik Prince is just a low-level coffee boy and leader of the world's most powerful mercenary army who happened to c… ,Wed Mar 07 01:37:28 +0000 2018,25,,,,
"I tried to convince Gary Cohn that many fine people believe in steel tariffs, but he wasn't buying it. #bothsides",Wed Mar 07 00:48:21 +0000 2018,6,,,,
"Abstinence is completely effective at preventing pregnancy, but only when combined with not fucking. ",Wed Mar 07 00:43:53 +0000 2018,10,,,,
The new Fake News narrative is that there is CHAOS in the White House. Wrong! The rules are very clear. I get two s… ,Wed Mar 07 00:18:16 +0000 2018,60,,,,
Thank you @DevinNunes for your continued commitment to seeking the truth and then leaking it to my gang so we can c… ,Tue Mar 06 23:40:51 +0000 2018,16,,,,
Russia had no impact on the election! But the only way to make sure they have no impact next time is my new invention... paper!,Tue Mar 06 21:16:06 +0000 2018,12,,,,
"Lowest rated Oscars in HISTORY. Problem is, they didn't make a movie of this book -- starring me, Sarah Palin, Jess… ",Tue Mar 06 20:35:05 +0000 2018,7,,,,
This is the future liberals want. ,Tue Mar 06 17:58:17 +0000 2018,9,,,,
"Congratulations to Kellyanne Conway, recipient of two Hatch Act awards!",Tue Mar 06 17:56:33 +0000 2018,108,,,,
"Nashville Mayor Megan Barry has resigned after stealing $10,000 from taxpayers. But let's not turn this into a witch-hunt!",Tue Mar 06 17:55:16 +0000 2018,5,,,,
